ORD;LOGRADOURO;NÚMERO;id_imovel;ZONA;TIPO;STATUS;COMPLEMENTO;RISCO;bairro;PROCESSO;EDITAL;FOTO;LONGITUDE;LATITUDE
191;Rua João Cabral;989;Rua João Cabral, Número 989 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005668/2024-21;73-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-73-2024.jpg;-42,82166887;-5,08569328
192;Rua João Cabral;927;Rua João Cabral, Número 927 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005669/2024-75;74-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-74-2024.jpg;-42,82135538;-5,086246196
193;Rua João Cabral;909;Rua João Cabral, Número 909 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005670/2024-08;75-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-75-2024.jpg;-42,81365183;-5,100438228
197;Rua João Cabral;807;Rua João Cabral, Número 807 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005676/2024-77;78-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-78-2024.jpg;-42,82091962;-5,087214052
102;Rua Eliseu Martins;S/Nº;Rua Eliseu Martins, Número S/Nº (Ao lado do nº1791), Bairro Centro - Teresina/PI;Norte;Prédio;Abandonado;(Ao lado do nº1791);;Centro;00027.005635/2024-81;43-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-43-2024.jpg;-42,81084379;-5,087156402
200;Rua João Cabral;476;Rua João Cabral, Número 476 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005678/2024-66;80-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-80-2024.jpg;-42,81501314;-5,097607537
98;Rua Eliseu Martins;S/Nº;Rua Eliseu Martins, Número S/Nº (Em frente ao nº 1570), Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Em frente ao nº 1570);;Centro;00027.005631/2024-01;41-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-41-2024.jpg;-42,81194606;-5,08772998
204;Rua Riachuelo;154;Rua Riachuelo, Número 154 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005681/2024-80;83-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-83-2024.jpg;-42,81624277;-5,094522205
118;Rua Álvaro Mendes;S/Nº;Rua Álvaro Mendes, Número S/Nº (Em frente ao nº 1348), Bairro Centro - Teresina/PI;Norte;Terreno;Abandonado;(Em frente ao nº 1348);;Centro;00027.005639/2024-69;47-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-47-2024.jpg;-42,8130632;-5,09019904
274;Rua 7 de Setembro;722;Rua 7 de Setembro, Número 722 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005753/2024-99;127-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-127-2024.jpg;-42,80845672;-5,099094671
106;Rua Eliseu Martins;S/Nº;Rua Eliseu Martins, Número S/Nº (Em frente ao nº 1975), Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;(Em frente ao nº 1975);;Centro;00027.005636/2024-25;44-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-44-2024.jpg;-42,80876225;-5,086413264
275;Rua 7 de Setembro;701;Rua 7 de Setembro, Número 701 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005758/2024-11;128-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-128-2024.jpg;-42,81503184;-5,084937133
276;Rua 7 de Setembro;508;Rua 7 de Setembro, Número 508 , Bairro Centro - Teresina/PI;Norte;Casa;Abandonado;;;Centro;00027.005760/2024-91;129-2024;https://gsc48.wordpress.com/wp-content/uploads/2024/08/edital-129-2024.jpg;-42,81503841;-5,085294106
